start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
24:17.28,24:17.31,1457.28,1457.31,0.03,-76.7,0.57,0.000,,gate chatter
24:19.09,24:19.11,1459.09,1459.11,0.02,-79.6,0.95,0.000,,gate chatter
24:19.22,24:19.23,1459.22,1459.23,0.01,-83.8,0.95,0.000,,gate chatter
24:37.12,24:37.14,1477.12,1477.14,0.02,-71.4,1.00,0.000,,gate chatter
24:37.33,24:37.51,1477.33,1477.51,0.18,-29.2,0.96,0.035,360,gate chatter
24:37.71,24:37.79,1477.71,1477.79,0.08,-47.4,0.95,0.000,,gate chatter
24:38.11,24:38.24,1478.11,1478.24,0.13,-33.8,0.85,0.038,368,gate chatter
24:38.60,24:38.92,1478.60,1478.92,0.32,-28.1,0.92,0.064,285,gate chatter
24:39.03,24:39.17,1479.03,1479.17,0.14,-32.4,1.00,0.031,630,gate chatter
24:39.56,24:40.64,1479.56,1480.64,1.08,-23.9,0.93,0.036,693,"quiet, reference talking"
24:40.84,24:41.59,1480.84,1481.59,0.75,-21.9,0.80,0.073,73,sustained low level under reference
24:41.87,24:41.91,1481.87,1481.91,0.04,-61.6,1.00,0.000,,gate chatter
24:42.09,24:43.26,1482.09,1483.26,1.17,-26.5,1.00,0.041,422,"quiet, reference talking"
24:43.52,24:44.02,1483.52,1484.02,0.50,-31.4,0.91,0.027,0,gate chatter
24:44.36,24:44.71,1484.36,1484.71,0.35,-21.4,0.97,0.029,153,gate chatter
24:44.95,24:45.80,1484.95,1485.80,0.85,-16.6,0.49,0.005,698,next to bleed cluster
24:46.05,24:46.10,1486.05,1486.10,0.05,-53.3,0.53,0.000,,gate chatter
24:46.24,24:47.10,1486.24,1487.10,0.86,-24.3,0.90,0.034,452,"quiet, reference talking"
24:47.30,24:47.42,1487.30,1487.42,0.12,-37.6,1.00,0.050,471,gate chatter
24:47.60,24:48.01,1487.60,1488.01,0.41,-33.8,1.00,0.063,5,gate chatter
24:48.35,24:48.54,1488.35,1488.54,0.19,-32.5,1.00,0.035,467,gate chatter
24:48.66,24:48.67,1488.66,1488.67,0.01,-71.4,1.00,0.000,,gate chatter
24:48.82,24:49.89,1488.82,1489.89,1.07,-21.2,0.99,0.019,123,sustained low level under reference
24:50.01,24:50.27,1490.01,1490.27,0.26,-20.7,0.98,0.048,608,gate chatter
24:50.72,24:51.06,1490.72,1491.06,0.34,-49.5,1.00,0.038,377,gate chatter
24:51.21,24:51.87,1491.21,1491.87,0.66,-38.8,0.51,0.031,403,"quiet, reference talking"
24:52.89,24:53.01,1492.89,1493.01,0.12,-34.5,1.00,0.071,550,gate chatter
24:53.12,24:53.29,1493.12,1493.29,0.17,-23.2,1.00,0.078,34,gate chatter
24:53.43,24:53.75,1493.43,1493.75,0.32,-31.5,0.97,0.048,289,gate chatter
24:54.07,24:54.18,1494.07,1494.18,0.11,-25.7,0.95,0.014,636,gate chatter
24:54.35,24:54.37,1494.35,1494.37,0.02,-70.4,1.00,0.000,,gate chatter
24:54.61,24:54.83,1494.61,1494.83,0.22,-29.5,0.99,0.166,483,gate chatter
24:54.98,24:55.52,1494.98,1495.52,0.54,-16.1,0.99,0.051,72,next to bleed cluster
