start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
41:01.53,41:02.04,2461.53,2462.04,0.51,-41.6,0.60,0.027,18,gate chatter
41:02.24,41:02.27,2462.24,2462.27,0.03,-63.8,0.60,0.000,,gate chatter
41:02.64,41:03.27,2462.64,2463.27,0.63,-44.5,0.86,0.042,394,"quiet, reference talking"
41:03.42,41:03.43,2463.42,2463.43,0.01,-57.4,0.93,0.000,,gate chatter
41:03.60,41:04.40,2463.60,2464.40,0.80,-49.4,0.83,0.029,129,"quiet, reference talking"
41:04.52,41:04.72,2464.52,2464.72,0.20,-46.0,0.88,0.050,659,gate chatter
41:04.91,41:05.00,2464.91,2465.00,0.09,-51.8,0.94,0.000,,gate chatter
41:05.28,41:05.44,2465.28,2465.44,0.16,-41.1,0.94,0.082,7,gate chatter
41:05.86,41:06.21,2465.86,2466.21,0.35,-43.7,0.72,0.066,357,gate chatter
41:07.09,41:07.13,2467.09,2467.13,0.04,-56.2,0.83,0.000,,gate chatter
41:43.12,42:41.50,2503.12,2561.50,58.38,-42.2,0.94,0.011,556,sustained low level under reference
42:44.85,42:45.16,2564.85,2565.16,0.31,-36.7,0.60,0.096,424,gate chatter
43:58.31,43:58.42,2638.31,2638.42,0.11,-34.4,1.00,0.015,37,gate chatter
43:58.61,43:59.37,2638.61,2639.37,0.76,-37.1,0.97,0.034,385,"quiet, reference talking"
43:59.86,44:00.24,2639.86,2640.24,0.38,-25.5,0.57,0.014,628,gate chatter
44:00.52,44:01.03,2640.52,2641.03,0.51,-29.8,0.77,0.027,165,gate chatter
44:01.19,44:01.35,2641.19,2641.35,0.16,-40.2,0.94,0.025,508,gate chatter
44:01.70,44:02.16,2641.70,2642.16,0.46,-40.0,0.82,0.045,680,gate chatter
44:02.31,44:02.55,2642.31,2642.55,0.24,-29.6,1.00,0.024,69,gate chatter
44:03.18,44:03.93,2643.18,2643.93,0.75,-29.2,0.98,0.024,620,"quiet, reference talking"
44:04.08,44:04.51,2644.08,2644.51,0.43,-41.9,1.00,0.018,15,gate chatter
44:04.64,44:04.78,2644.64,2644.78,0.14,-26.6,1.00,0.053,482,gate chatter
44:05.03,44:05.13,2645.03,2645.13,0.10,-43.6,1.00,0.064,493,gate chatter
44:05.37,44:05.90,2645.37,2645.90,0.53,-38.8,0.98,0.042,91,gate chatter
44:06.13,44:06.15,2646.13,2646.15,0.02,-65.9,1.00,0.000,,gate chatter
44:06.31,44:06.38,2646.31,2646.38,0.07,-56.7,1.00,0.000,,gate chatter
44:06.74,44:06.85,2646.74,2646.85,0.11,-49.0,1.00,0.058,564,gate chatter
44:06.98,44:07.32,2646.98,2647.32,0.34,-37.2,1.00,0.046,131,gate chatter
44:08.33,44:08.42,2648.33,2648.42,0.09,-40.9,0.89,0.000,,gate chatter
44:08.55,44:08.72,2648.55,2648.72,0.17,-54.3,0.97,0.050,535,gate chatter
44:09.15,44:09.24,2649.15,2649.24,0.09,-37.2,1.00,0.000,,gate chatter
44:09.98,44:10.23,2649.98,2650.23,0.25,-32.4,0.95,0.023,211,gate chatter
44:10.83,44:11.09,2650.83,2651.09,0.26,-45.5,0.96,0.063,180,gate chatter
44:11.22,44:11.40,2651.22,2651.40,0.18,-47.3,1.00,0.097,4,gate chatter
44:11.53,44:11.54,2651.53,2651.54,0.01,-71.7,1.00,0.000,,gate chatter
44:11.88,44:12.07,2651.88,2652.07,0.19,-28.0,0.95,0.046,562,gate chatter
44:12.30,44:12.31,2652.30,2652.31,0.01,-73.3,0.93,0.000,,gate chatter
44:18.08,44:18.55,2658.08,2658.55,0.47,-30.7,0.91,0.051,695,gate chatter
44:19.17,44:19.24,2659.17,2659.24,0.07,-37.2,0.95,0.000,,gate chatter
44:19.88,44:20.12,2659.88,2660.12,0.24,-36.2,0.96,0.090,487,gate chatter
44:20.29,44:20.47,2660.29,2660.47,0.18,-29.4,0.96,0.015,14,gate chatter
44:20.64,44:20.70,2660.64,2660.70,0.06,-41.8,1.00,0.000,,gate chatter
44:20.93,44:21.18,2660.93,2661.18,0.25,-29.2,0.90,0.011,436,gate chatter
44:21.36,44:21.75,2661.36,2661.75,0.39,-38.2,0.94,0.041,264,gate chatter
44:21.93,44:21.96,2661.93,2661.96,0.03,-71.0,1.00,0.000,,gate chatter
44:22.13,44:22.45,2662.13,2662.45,0.32,-37.4,1.00,0.054,267,gate chatter
44:22.73,44:23.14,2662.73,2663.14,0.41,-29.9,0.98,0.018,489,gate chatter
44:23.56,44:23.83,2663.56,2663.83,0.27,-41.0,0.89,0.094,331,gate chatter
44:23.99,44:24.13,2663.99,2664.13,0.14,-67.3,1.00,0.115,585,gate chatter
44:24.41,44:24.91,2664.41,2664.91,0.50,-63.5,1.00,0.085,216,gate chatter
44:25.07,44:25.42,2665.07,2665.42,0.35,-67.3,0.99,0.069,18,gate chatter
44:25.75,44:26.47,2665.75,2666.47,0.72,-9.7,0.64,0.047,362,next to bleed cluster
44:48.20,44:48.25,2688.20,2688.25,0.05,-78.1,1.00,0.000,,gate chatter
44:48.52,44:48.71,2688.52,2688.71,0.19,-13.8,1.00,0.104,599,next to bleed cluster
44:48.91,44:49.14,2688.91,2689.14,0.23,-50.2,1.00,0.028,174,gate chatter
44:49.25,44:50.00,2689.25,2690.00,0.75,-24.9,0.96,0.020,676,"quiet, reference talking"
44:50.16,44:50.50,2690.16,2690.50,0.34,-35.5,0.82,0.046,333,gate chatter
44:51.54,44:51.93,2691.54,2691.93,0.39,-36.4,0.85,0.093,498,gate chatter
44:52.98,44:53.15,2692.98,2693.15,0.17,-44.4,0.86,0.030,346,gate chatter
44:53.30,44:53.39,2693.30,2693.39,0.09,-44.0,0.97,0.000,,gate chatter
44:54.30,44:54.50,2694.30,2694.50,0.20,-25.9,1.00,0.033,211,gate chatter
44:54.68,44:54.85,2694.68,2694.85,0.17,-59.7,1.00,0.040,190,gate chatter
44:55.08,44:55.11,2695.08,2695.11,0.03,-62.2,1.00,0.000,,gate chatter
44:55.62,44:56.33,2695.62,2696.33,0.71,-29.0,1.00,0.021,359,"quiet, reference talking"
44:56.73,44:57.04,2696.73,2697.04,0.31,-47.3,0.60,0.026,121,gate chatter
45:05.95,45:06.12,2705.95,2706.12,0.17,-26.8,0.88,0.034,315,gate chatter
45:06.24,45:06.98,2706.24,2706.98,0.74,-31.6,0.99,0.015,112,"quiet, reference talking"
45:07.54,45:08.66,2707.54,2708.66,1.12,-29.6,0.92,0.036,338,"quiet, reference talking"
45:08.77,45:08.92,2708.77,2708.92,0.15,-42.1,1.00,0.044,4,gate chatter
45:09.23,45:09.49,2709.23,2709.49,0.26,-38.6,1.00,0.011,680,gate chatter
45:10.53,45:10.76,2710.53,2710.76,0.23,-45.9,0.97,0.043,466,gate chatter
45:11.01,45:11.30,2711.01,2711.30,0.29,-60.6,0.94,0.063,227,gate chatter
45:11.42,45:11.59,2711.42,2711.59,0.17,-68.5,0.85,0.098,682,gate chatter
45:11.84,45:12.38,2711.84,2712.38,0.54,-65.8,0.93,0.076,147,gate chatter
45:12.54,45:12.60,2712.54,2712.60,0.06,-71.3,1.00,0.000,,gate chatter
45:12.75,45:13.25,2712.75,2713.25,0.50,-41.2,0.98,0.053,72,gate chatter
46:31.69,46:32.03,2791.69,2792.03,0.34,-21.6,0.97,0.142,104,gate chatter
46:40.30,46:40.37,2800.30,2800.37,0.07,-65.1,0.98,0.000,,gate chatter
46:40.82,46:40.83,2800.82,2800.83,0.01,-83.2,0.98,0.000,,gate chatter
46:41.07,46:41.17,2801.07,2801.17,0.10,-75.5,1.00,0.049,52,gate chatter
46:41.85,46:41.94,2801.85,2801.94,0.09,-64.3,1.00,0.000,,gate chatter
46:42.13,46:42.25,2802.13,2802.25,0.12,-64.6,1.00,0.027,497,gate chatter
46:42.40,46:42.78,2802.40,2802.78,0.38,-57.4,1.00,0.025,365,gate chatter
48:08.00,48:08.02,2888.00,2888.02,0.02,-63.6,0.00,0.000,,next to bleed cluster
48:08.86,48:08.95,2888.86,2888.95,0.09,-38.3,1.00,0.000,,gate chatter
48:10.10,48:10.23,2890.10,2890.23,0.13,-38.7,1.00,0.030,628,gate chatter
48:11.24,48:11.36,2891.24,2891.36,0.12,-36.7,1.00,0.028,170,gate chatter
48:17.66,48:18.03,2897.66,2898.03,0.37,-40.1,0.99,0.036,197,gate chatter
48:19.03,48:19.56,2899.03,2899.56,0.53,-30.6,0.99,0.069,402,gate chatter
49:03.72,49:03.73,2943.72,2943.73,0.01,-75.2,1.00,0.000,,gate chatter
49:04.18,49:04.38,2944.18,2944.38,0.20,-40.6,0.99,0.037,692,gate chatter
49:04.53,49:05.43,2944.53,2945.43,0.90,-32.8,1.00,0.050,408,"quiet, reference talking"
49:06.88,49:06.94,2946.88,2946.94,0.06,-47.9,0.97,0.000,,gate chatter
49:07.18,49:07.50,2947.18,2947.50,0.32,-23.9,0.98,0.020,396,gate chatter
49:07.75,49:07.76,2947.75,2947.76,0.01,-68.4,0.96,0.000,,gate chatter
49:08.26,49:08.42,2948.26,2948.42,0.16,-32.5,0.93,0.024,191,gate chatter
49:08.56,49:08.77,2948.56,2948.77,0.21,-52.8,0.96,0.064,88,gate chatter
49:08.98,49:09.14,2948.98,2949.14,0.16,-39.1,0.96,0.019,285,gate chatter
49:09.45,49:09.55,2949.45,2949.55,0.10,-34.3,0.94,0.029,79,gate chatter
49:09.78,49:09.85,2949.78,2949.85,0.07,-57.9,1.00,0.000,,gate chatter
49:10.25,49:10.26,2950.25,2950.26,0.01,-51.4,0.95,0.000,,gate chatter
49:10.57,49:10.84,2950.57,2950.84,0.27,-31.9,1.00,0.022,630,gate chatter
49:11.16,49:11.73,2951.16,2951.73,0.57,-32.2,0.97,0.029,76,gate chatter
49:12.00,49:12.01,2952.00,2952.01,0.01,-73.8,1.00,0.000,,gate chatter
49:12.26,49:12.33,2952.26,2952.33,0.07,-35.7,0.95,0.000,,gate chatter
49:12.64,49:12.77,2952.64,2952.77,0.13,-32.6,0.96,0.031,617,gate chatter
49:12.90,49:13.01,2952.90,2953.01,0.11,-47.3,1.00,0.044,295,gate chatter
49:13.29,49:13.39,2953.29,2953.39,0.10,-31.8,0.92,0.018,466,gate chatter
49:13.77,49:14.17,2953.77,2954.17,0.40,-36.9,0.97,0.031,0,gate chatter
49:14.42,49:14.49,2954.42,2954.49,0.07,-45.4,1.00,0.000,,gate chatter
49:14.78,49:14.98,2954.78,2954.98,0.20,-30.9,0.76,0.047,173,gate chatter
49:15.09,49:15.32,2955.09,2955.32,0.23,-35.5,0.81,0.051,426,gate chatter
49:15.49,49:15.71,2955.49,2955.71,0.22,-55.5,1.00,0.072,112,gate chatter
49:15.93,49:16.22,2955.93,2956.22,0.29,-30.7,1.00,0.029,264,gate chatter
49:16.35,49:16.45,2956.35,2956.45,0.10,-25.4,1.00,0.012,582,gate chatter
49:16.66,49:16.89,2956.66,2956.89,0.23,-42.3,1.00,0.033,106,gate chatter
49:17.36,49:17.44,2957.36,2957.44,0.08,-49.8,0.98,0.000,,gate chatter
49:18.02,49:18.03,2958.02,2958.03,0.01,-70.7,1.00,0.000,,gate chatter
49:18.22,49:18.26,2958.22,2958.26,0.04,-59.2,1.00,0.000,,gate chatter
49:18.40,49:18.42,2958.40,2958.42,0.02,-73.4,1.00,0.000,,gate chatter
49:18.59,49:18.86,2958.59,2958.86,0.27,-35.5,1.00,0.021,18,gate chatter
49:19.05,49:19.42,2959.05,2959.42,0.37,-33.0,0.99,0.082,80,gate chatter
49:19.79,49:19.88,2959.79,2959.88,0.09,-41.9,0.97,0.000,,gate chatter
49:20.37,49:20.52,2960.37,2960.52,0.15,-54.0,0.86,0.052,666,gate chatter
49:21.01,49:21.82,2961.01,2961.82,0.81,-35.9,0.87,0.042,248,"quiet, reference talking"
49:22.75,49:23.24,2962.75,2963.24,0.49,-32.1,1.00,0.067,290,gate chatter
49:23.74,49:23.75,2963.74,2963.75,0.01,-62.4,0.52,0.000,,gate chatter
49:24.05,49:24.08,2964.05,2964.08,0.03,-67.1,0.78,0.000,,gate chatter
49:24.25,49:24.28,2964.25,2964.28,0.03,-49.3,0.97,0.000,,gate chatter
49:24.56,49:24.84,2964.56,2964.84,0.28,-35.6,0.99,0.036,346,gate chatter
49:25.83,49:25.96,2965.83,2965.96,0.13,-54.3,0.99,0.035,530,gate chatter
49:26.10,49:26.22,2966.10,2966.22,0.12,-41.9,0.99,0.019,183,gate chatter
49:26.57,49:26.85,2966.57,2966.85,0.28,-50.4,1.00,0.076,585,gate chatter
49:26.98,49:27.02,2966.98,2967.02,0.04,-40.6,1.00,0.000,,gate chatter
49:27.84,50:27.27,2967.84,3027.27,59.43,-21.3,0.91,0.009,305,sustained low level under reference
50:27.61,50:27.64,3027.61,3027.64,0.03,-61.8,1.00,0.000,,gate chatter
50:27.81,50:27.83,3027.81,3027.83,0.02,-65.9,0.82,0.000,,gate chatter
50:28.23,50:28.30,3028.23,3028.30,0.07,-62.0,0.42,0.000,,gate chatter
50:28.88,50:28.99,3028.88,3028.99,0.11,-61.9,0.92,0.116,380,gate chatter
50:29.13,50:29.24,3029.13,3029.24,0.11,-67.5,0.86,0.090,322,gate chatter
50:29.69,50:29.72,3029.69,3029.72,0.03,-74.2,0.88,0.000,,gate chatter
52:51.90,52:52.00,3171.90,3172.00,0.10,-65.1,0.82,0.049,621,gate chatter
52:52.31,52:52.36,3172.31,3172.36,0.05,-71.6,0.88,0.000,,gate chatter
52:52.81,52:52.86,3172.81,3172.86,0.05,-83.6,0.95,0.000,,gate chatter
52:53.06,52:53.08,3173.06,3173.08,0.02,-82.8,1.00,0.000,,gate chatter
52:53.33,52:53.39,3173.33,3173.39,0.06,-72.1,0.95,0.000,,gate chatter
52:54.54,52:55.21,3174.54,3175.21,0.67,-51.6,0.96,0.041,447,"quiet, reference talking"
52:56.83,52:57.04,3176.83,3177.04,0.21,-65.5,1.00,0.059,226,gate chatter
53:04.46,53:04.47,3184.46,3184.47,0.01,-78.7,0.96,0.000,,gate chatter
53:04.63,53:04.66,3184.63,3184.66,0.03,-79.4,0.97,0.000,,gate chatter
53:04.86,53:05.08,3184.86,3185.08,0.22,-50.2,1.00,0.109,482,gate chatter
53:27.58,53:27.60,3207.58,3207.60,0.02,-80.2,1.00,0.000,,gate chatter
53:27.79,53:28.20,3207.79,3208.20,0.41,-17.4,1.00,0.093,372,next to bleed cluster
53:44.09,53:44.50,3224.09,3224.50,0.41,-64.8,1.00,0.063,694,gate chatter
53:44.64,53:44.71,3224.64,3224.71,0.07,-61.8,1.00,0.000,,gate chatter
53:45.02,53:45.16,3225.02,3225.16,0.14,-50.2,0.94,0.025,274,gate chatter
53:45.38,53:45.58,3225.38,3225.58,0.20,-71.1,0.68,0.032,639,gate chatter
53:45.81,53:45.83,3225.81,3225.83,0.02,-66.9,0.58,0.000,,gate chatter
53:46.22,53:46.30,3226.22,3226.30,0.08,-57.2,0.97,0.000,,gate chatter
53:48.06,53:48.18,3228.06,3228.18,0.12,-59.7,0.96,0.039,243,gate chatter
53:49.43,53:49.58,3229.43,3229.58,0.15,-61.9,0.96,0.036,275,gate chatter
53:49.74,53:49.77,3229.74,3229.77,0.03,-74.7,0.98,0.000,,gate chatter
53:50.01,53:50.05,3230.01,3230.05,0.04,-72.5,1.00,0.000,,gate chatter
53:50.29,53:50.35,3230.29,3230.35,0.06,-65.5,1.00,0.000,,gate chatter
53:51.46,53:51.68,3231.46,3231.68,0.22,-65.8,0.90,0.033,680,gate chatter
53:51.81,53:51.90,3231.81,3231.90,0.09,-58.3,0.92,0.000,,gate chatter
53:52.08,53:52.19,3232.08,3232.19,0.11,-62.6,1.00,0.045,438,gate chatter
53:53.21,53:53.35,3233.21,3233.35,0.14,-66.6,0.99,0.055,500,gate chatter
53:53.64,53:53.79,3233.64,3233.79,0.15,-68.6,0.99,0.105,8,gate chatter
53:53.97,53:54.00,3233.97,3234.00,0.03,-83.7,1.00,0.000,,gate chatter
53:54.30,53:54.36,3234.30,3234.36,0.06,-74.3,1.00,0.000,,gate chatter
53:54.54,53:54.64,3234.54,3234.64,0.10,-68.1,1.00,0.035,314,gate chatter
53:54.96,53:54.97,3234.96,3234.97,0.01,-82.5,0.88,0.000,,gate chatter
53:55.18,53:55.26,3235.18,3235.26,0.08,-58.9,0.68,0.000,,gate chatter
54:13.34,54:13.45,3253.34,3253.45,0.11,-58.6,0.95,0.086,69,gate chatter
55:44.81,55:45.08,3344.81,3345.08,0.27,-20.4,0.98,0.069,238,gate chatter
55:45.39,55:45.54,3345.39,3345.54,0.15,-55.7,1.00,0.036,510,gate chatter
55:48.68,55:48.83,3348.68,3348.83,0.15,-62.0,0.74,0.139,239,gate chatter
55:49.96,55:50.24,3349.96,3350.24,0.28,-61.0,0.64,0.067,689,gate chatter
55:50.43,55:50.44,3350.43,3350.44,0.01,-83.3,1.00,0.000,,gate chatter
55:50.66,55:50.76,3350.66,3350.76,0.10,-69.0,0.97,0.035,278,gate chatter
55:51.03,55:51.04,3351.03,3351.04,0.01,-80.6,0.70,0.000,,gate chatter
56:02.36,56:02.62,3362.36,3362.62,0.26,-39.3,1.00,0.024,399,gate chatter
56:02.79,56:03.82,3362.79,3363.82,1.03,-28.8,0.92,0.010,223,"quiet, reference talking"
56:04.80,56:05.11,3364.80,3365.11,0.31,-28.8,0.90,0.020,466,gate chatter
56:05.33,56:06.09,3365.33,3366.09,0.76,-28.9,0.86,0.035,695,"quiet, reference talking"
56:06.32,56:06.33,3366.32,3366.33,0.01,-73.4,0.80,0.000,,gate chatter
56:07.71,56:07.73,3367.71,3367.73,0.02,-63.6,1.00,0.000,,gate chatter
56:07.98,56:08.28,3367.98,3368.28,0.30,-35.9,1.00,0.051,697,gate chatter
56:08.42,56:08.47,3368.42,3368.47,0.05,-65.9,1.00,0.000,,gate chatter
56:33.70,56:34.14,3393.70,3394.14,0.44,-48.3,0.99,0.028,544,gate chatter
56:34.39,56:34.97,3394.39,3394.97,0.58,-35.3,0.97,0.018,377,gate chatter
56:35.27,56:35.97,3395.27,3395.97,0.70,-33.1,0.96,0.023,2,"quiet, reference talking"
56:36.30,56:36.40,3396.30,3396.40,0.10,-59.7,0.82,0.052,182,gate chatter
56:36.75,56:37.08,3396.75,3397.08,0.33,-22.5,0.91,0.063,481,gate chatter
56:37.43,56:37.52,3397.43,3397.52,0.09,-55.0,1.00,0.000,,gate chatter
56:37.72,56:37.83,3397.72,3397.83,0.11,-34.8,0.94,0.032,86,gate chatter
56:38.03,56:38.32,3398.03,3398.32,0.29,-46.0,0.93,0.051,24,gate chatter
56:38.71,56:39.19,3398.71,3399.19,0.48,-34.7,0.83,0.060,268,gate chatter
56:40.28,56:40.66,3400.28,3400.66,0.38,-35.7,1.00,0.036,483,gate chatter
56:40.83,56:40.89,3400.83,3400.89,0.06,-57.7,1.00,0.000,,gate chatter
56:41.15,56:41.30,3401.15,3401.30,0.15,-32.1,0.97,0.016,63,gate chatter
56:42.51,56:42.58,3402.51,3402.58,0.07,-57.8,0.84,0.000,,gate chatter
56:42.70,56:42.91,3402.70,3402.91,0.21,-46.3,1.00,0.045,651,gate chatter
56:43.17,56:43.25,3403.17,3403.25,0.08,-37.7,1.00,0.000,,gate chatter
56:43.46,56:43.58,3403.46,3403.58,0.12,-43.5,0.97,0.040,420,gate chatter
56:43.77,56:43.98,3403.77,3403.98,0.21,-49.7,0.97,0.054,147,gate chatter
56:44.44,56:44.80,3404.44,3404.80,0.36,-35.9,1.00,0.057,630,gate chatter
56:45.77,56:45.88,3405.77,3405.88,0.11,-47.2,0.89,0.054,698,gate chatter
56:46.44,56:46.48,3406.44,3406.48,0.04,-81.7,1.00,0.000,,gate chatter
56:46.68,56:46.74,3406.68,3406.74,0.06,-67.2,1.00,0.000,,gate chatter
56:46.97,56:47.31,3406.97,3407.31,0.34,-41.3,0.91,0.066,491,gate chatter
56:47.50,56:47.65,3407.50,3407.65,0.15,-47.6,0.74,0.033,283,gate chatter
56:48.28,56:48.36,3408.28,3408.36,0.08,-49.0,0.92,0.000,,gate chatter
56:48.50,56:48.80,3408.50,3408.80,0.30,-27.3,0.91,0.041,342,gate chatter
56:49.50,56:49.84,3409.50,3409.84,0.34,-38.7,0.75,0.033,441,gate chatter
56:49.95,56:50.00,3409.95,3410.00,0.05,-60.9,0.95,0.000,,gate chatter
56:50.21,56:52.07,3410.21,3412.07,1.86,-32.7,0.95,0.048,206,sustained low level under reference
56:52.71,56:52.80,3412.71,3412.80,0.09,-41.3,0.89,0.000,,gate chatter
56:53.12,56:53.82,3413.12,3413.82,0.70,-33.2,0.86,0.042,583,"quiet, reference talking"
56:54.24,56:54.27,3414.24,3414.27,0.03,-59.1,0.97,0.000,,gate chatter
56:54.38,56:54.88,3414.38,3414.88,0.50,-47.2,0.98,0.035,274,gate chatter
59:03.72,59:03.92,3543.72,3543.92,0.20,-41.6,0.88,0.063,443,gate chatter
59:04.07,59:04.67,3544.07,3544.67,0.60,-34.7,0.96,0.062,698,gate chatter
59:04.85,59:04.88,3544.85,3544.88,0.03,-59.3,0.97,0.000,,gate chatter
59:05.12,59:05.85,3545.12,3545.85,0.73,-42.8,0.86,0.059,576,"quiet, reference talking"
59:06.12,59:06.19,3546.12,3546.19,0.07,-45.0,0.90,0.000,,gate chatter
59:06.65,59:07.11,3546.65,3547.11,0.46,-29.5,0.93,0.099,333,gate chatter
59:07.26,59:07.41,3547.26,3547.41,0.15,-57.6,1.00,0.052,237,gate chatter
59:07.62,59:07.97,3547.62,3547.97,0.35,-45.8,1.00,0.034,117,gate chatter
59:08.43,59:09.04,3548.43,3549.04,0.61,-24.9,0.95,0.053,180,"quiet, reference talking"
59:16.78,59:22.07,3556.78,3562.07,5.29,-29.4,0.87,0.014,624,sustained low level under reference
59:22.22,59:25.13,3562.22,3565.13,2.91,-32.0,0.83,0.058,460,sustained low level under reference
59:25.24,59:25.33,3565.24,3565.33,0.09,-69.0,0.81,0.000,,gate chatter
59:25.52,59:25.62,3565.52,3565.62,0.10,-64.5,0.83,0.059,460,gate chatter
59:25.86,59:26.91,3565.86,3566.91,1.05,-32.9,0.81,0.009,322,"quiet, reference talking"
59:27.15,59:28.02,3567.15,3568.02,0.87,-38.3,0.96,0.062,26,"quiet, reference talking"
59:28.13,59:28.25,3568.13,3568.25,0.12,-59.0,1.00,0.120,367,gate chatter
59:28.42,59:29.00,3568.42,3569.00,0.58,-44.2,1.00,0.068,1,gate chatter
59:29.22,59:30.74,3569.22,3570.74,1.52,-19.2,0.95,0.021,191,sustained low level under reference
59:30.85,59:32.73,3570.85,3572.73,1.88,-36.5,0.92,0.041,244,sustained low level under reference
59:32.89,59:33.65,3572.89,3573.65,0.76,-49.7,0.98,0.043,295,"quiet, reference talking"
60:01.85,60:03.05,3601.85,3603.05,1.20,-38.8,0.82,0.036,140,"quiet, reference talking"
60:03.21,60:03.22,3603.21,3603.22,0.01,-81.8,0.57,0.000,,gate chatter
60:03.71,60:04.50,3603.71,3604.50,0.79,-40.8,0.99,0.032,185,"quiet, reference talking"
60:04.62,60:05.69,3604.62,3605.69,1.07,-36.3,0.93,0.021,112,"quiet, reference talking"
60:05.82,60:06.35,3605.82,3606.35,0.53,-46.3,0.94,0.025,86,gate chatter
60:07.05,60:07.31,3607.05,3607.31,0.26,-12.0,1.00,0.070,408,next to bleed cluster
60:07.47,60:07.59,3607.47,3607.59,0.12,-52.5,1.00,0.146,602,gate chatter
60:07.75,60:08.07,3607.75,3608.07,0.32,-6.9,0.97,0.062,600,next to bleed cluster
60:08.20,60:08.22,3608.20,3608.22,0.02,-74.8,0.93,0.000,,gate chatter
60:08.37,60:08.56,3608.37,3608.56,0.19,-42.4,0.88,0.036,344,gate chatter
60:08.79,60:09.13,3608.79,3609.13,0.34,-42.7,0.94,0.036,196,gate chatter
60:09.52,60:09.81,3609.52,3609.81,0.29,-50.4,0.95,0.097,291,gate chatter
60:10.46,60:11.40,3610.46,3611.40,0.94,-39.1,0.99,0.033,178,"quiet, reference talking"
60:11.76,60:12.09,3611.76,3612.09,0.33,-34.8,0.97,0.041,693,gate chatter
60:12.25,60:12.35,3612.25,3612.35,0.10,-65.2,0.95,0.144,421,gate chatter
60:12.64,60:13.04,3612.64,3613.04,0.40,-32.9,1.00,0.042,103,gate chatter
60:13.21,60:13.25,3613.21,3613.25,0.04,-59.7,0.95,0.000,,gate chatter
60:13.39,60:14.11,3613.39,3614.11,0.72,-19.4,0.96,0.078,538,sustained low level under reference
60:14.40,60:14.57,3614.40,3614.57,0.17,-31.0,0.93,0.023,71,gate chatter
60:14.72,60:15.15,3614.72,3615.15,0.43,-43.1,0.89,0.057,680,gate chatter
60:15.29,60:15.36,3615.29,3615.36,0.07,-57.2,1.00,0.000,,gate chatter
60:25.90,60:26.34,3625.90,3626.34,0.44,-36.1,0.93,0.075,172,gate chatter
60:27.07,60:27.09,3627.07,3627.09,0.02,-57.0,0.56,0.000,,gate chatter
60:27.46,60:27.62,3627.46,3627.62,0.16,-41.4,0.83,0.054,521,gate chatter
60:28.09,60:28.42,3628.09,3628.42,0.33,-41.2,0.97,0.026,373,gate chatter
60:28.77,60:28.81,3628.77,3628.81,0.04,-75.0,1.00,0.000,,gate chatter
60:29.00,60:31.56,3629.00,3631.56,2.56,-32.0,0.93,0.021,52,sustained low level under reference
60:42.45,60:43.51,3642.45,3643.51,1.06,-28.4,0.98,0.144,146,"quiet, reference talking"
60:43.65,60:44.29,3643.65,3644.29,0.64,-38.9,0.87,0.028,104,"quiet, reference talking"
60:44.83,60:45.00,3644.83,3645.00,0.17,-70.8,1.00,0.058,210,gate chatter
60:45.15,60:45.16,3645.15,3645.16,0.01,-76.8,1.00,0.000,,gate chatter
60:46.41,60:47.42,3646.41,3647.42,1.01,-35.6,0.98,0.024,156,"quiet, reference talking"
60:47.71,60:47.74,3647.71,3647.74,0.03,-68.3,0.98,0.000,,gate chatter
60:53.23,60:53.33,3653.23,3653.33,0.10,-47.4,0.88,0.060,316,gate chatter
60:53.56,60:53.68,3653.56,3653.68,0.12,-55.2,0.85,0.078,549,gate chatter
60:54.49,60:54.83,3654.49,3654.83,0.34,-42.8,0.88,0.060,385,gate chatter
60:54.95,60:55.53,3654.95,3655.53,0.58,-31.9,1.00,0.066,97,gate chatter
60:55.85,60:55.95,3655.85,3655.95,0.10,-51.7,1.00,0.040,413,gate chatter
60:56.32,60:56.46,3656.32,3656.46,0.14,-35.4,0.91,0.013,0,gate chatter
60:57.28,60:57.68,3657.28,3657.68,0.40,-26.8,0.98,0.025,49,gate chatter
60:57.94,60:58.04,3657.94,3658.04,0.10,-45.6,0.97,0.041,226,gate chatter
60:58.58,60:59.09,3658.58,3659.09,0.51,-34.9,1.00,0.040,568,gate chatter
63:14.98,63:15.10,3794.98,3795.10,0.12,-63.4,1.00,0.026,99,gate chatter
63:15.34,63:15.50,3795.34,3795.50,0.16,-22.7,1.00,0.041,296,gate chatter
63:20.47,63:20.56,3800.47,3800.56,0.09,-75.1,0.92,0.000,,gate chatter
63:20.87,63:22.34,3800.87,3802.34,1.47,-37.3,0.97,0.023,117,sustained low level under reference
63:22.47,63:23.19,3802.47,3803.19,0.72,-37.9,0.93,0.015,616,"quiet, reference talking"
63:25.27,63:25.45,3805.27,3805.45,0.18,-56.4,0.59,0.038,672,gate chatter
63:25.62,63:26.07,3805.62,3806.07,0.45,-42.8,0.93,0.051,335,gate chatter
63:26.21,63:26.42,3806.21,3806.42,0.21,-42.9,0.93,0.030,604,gate chatter
63:26.54,63:27.05,3806.54,3807.05,0.51,-42.5,0.89,0.036,265,gate chatter
63:27.50,63:28.76,3807.50,3808.76,1.26,-32.7,0.64,0.031,12,next to bleed cluster
